Merged_Group,Count,Name,Topics Merged
0,9404,['0_hai_pr_bas_ye'],1
118,9145,"['1_road_expressway_mumbai_bangalore', '2_hotel_at_hyderabad_nagar', '118_ev_mumbai_maharashtra_residential', '174_delhi_gujarat_central_pradesh', '179_kolkata_hyderabad_mumbai_andhra']",5
84,7181,"['34_charged_charging_charges_charge', '36_charging_charge_charged_slow', '41_charging_charge_charger_support', '49_charger_charging_charge_charged', '79_charging_charge_charges_rate', '84_charger_kw_kwh_above', '106_charging_charge_charger_issue', '127_charged_charging_charge_issues', '128_charges_chargeable_rs_charged', '129_charging_charge_charged_battery', '130_charging_charger_charge_charged', '132_charging_charge_ev_also', '151_chargezone_charging_charge_message', '169_charger_charging_charge_charges', '175_charging_charged_charge_issue', '189_rs_overheads_increased_overcharged', '217_charging_charger_charges_charge', '219_charging_charge_charged_gives', '220_chargezone_charging_charger_charge', '231_charging_charge_charger_charges', '262_charging_charged_charger_charge', '287_charging_charge_charger_possible']",22
4,4449,"['4_on_evs_issues_will', '18_evs_ev_will_more']",2
5,3467,"['5_discount_premium_dealer_insurer', '123_dealer_insurance_service_cost']",2
3,3290,['3_will_tata_tatas_escalate'],1
172,2909,"['43_reset_will_issue_still', '44_update_issues_issue_below', '94_ok_multiple_tried_okay', '103_issue_issues_below_error', '133_seems_sc_issues_ipc', '172_charge_issue_solved_late', '218_issue_battery_issues_resolved', '244_service_replaced_update_issue']",8
8,2855,"['8_battery_batteries_cost_car', '90_battery_service_cheap_unlocked']",2
6,2769,['6_or_ambient_cools_but'],1
7,2526,['7_will_crossed_last_at'],1
19,2396,"['19_will_could_can_now', '20_time_if_or_yeah']",2
10,2260,"['10_teslas_tesla_other_price', '146_cheaper_electric_sector_demand']",2
9,2224,['9_discount_months_ev_for'],1
11,1983,['11_offline_reliable_unavailable_near'],1
12,1685,['12_here_pls_thats_trying'],1
13,1578,['13_issues_much_update_cost'],1
14,1442,['14_unable_tried_got_able'],1
15,1352,['15_below_in_used_city'],1
16,1308,['16_replaced_tigor_changed_on'],1
17,1280,['17_status_able_support_charging'],1
67,1212,"['67_glad_noted_useful_thanks', '74_noted_got_names_thanks', '173_received_fixed_delivered_trying', '269_delivered_great_branch_pricing']",4
21,1167,['21_upgrade_around_rs_dc'],1
58,1112,"['58_electricity_voltage_plug_as', '113_plugtop_plugs_evse_socket', '137_current_electrician_plug_amps']",3
22,1092,['22_weird_ac_noticed_also'],1
23,1067,['23_message_available_update_option'],1
24,1034,['24_panel_free_at_subsidy'],1
25,1024,['25_driver_exactly_issues_buying'],1
26,1000,['26_authorised_done_check_got'],1
27,988,['27_srujan_ev_ravi_krishna'],1
28,980,['28_only_available_do_can'],1
29,953,['29_rsa_charging_charge_problem'],1
30,950,['30_offering_any_resale_ok'],1
31,895,['31_need_release_applied_automatically'],1
32,887,['32_contact_cancel_online_email'],1
33,883,['33_on_you_good_nexdigitron'],1
35,869,['35_got_at_on_mode'],1
37,846,['37_available_in_he_bharat'],1
107,835,"['93_waiting_waited_gauged_around', '107_been_next_upcoming_planned', '222_will_wait_postponed_coming']",3
38,821,['38_accessory_replaced_outside_in'],1
39,811,['39_after_will_some_worth'],1
40,786,['40_around_bring_few_yes'],1
42,755,['42_evs_ev_vehicle_vehicles'],1
45,729,['45_rs_tata_need_what'],1
46,702,['46_same_update_why_not'],1
47,672,['47_maruti_mahindras_issues_on'],1
48,630,['48_help_leave_keep_same'],1
50,622,['50_will_provide_send_free'],1
51,609,['51_upgrade_buy_bought_same'],1
