Topic,Message
0,"Are, vo uske haath me nahi hai. Ye to insurance company pe hai. Battery price, aur EV hai. Sab include karna padta hai"
0,Jio ke charger pe mg zs ev ki delivery speed kya hai
0,3.2 ac charger se charge ho raha hai kya?
1,New charging station at Pune 👆🏼
1,"From Nagpur go towards Amravati, Nashik and Vapi. There are chargers on this route. Then from there you will find plenty of chargers. Otherwise the shorter route is via Bhopal and Gwalior but you will have to find at least 2 hotels on the way and see of they can allow you to charge. Look at hotels in the cities in between and call them. Some will allow it. A last resort is to get someone to tow you for around 50km. That will charge you up but it is a little difficult so finding a hotel is the best. Plan an overnight stay to charge at every 200 to 250km. Take a look at Plugshare and see all the available chargers and plan your route."
1,"Do anyone now, any charging station from Bangalore to pune?"
2,I am planning from Bangalore to Goa
2,Next month planning to drive Bangalore to pune
2,"Has anyone done the below trips. If yes, let me know - Mumbai Pune - Mumbai Bangalore - Bangalore Kerala"
3,Sent this mail to Tata motors
3,Tata motors range of cars🤞
3,Why will Tata do that? 😅
4,This has nothing to do with ev...dont know why evs are even mentioned in here...
4,Actually i have 2 evs
4,Evs are not for everyone.
5,Which insurance company giving car insurance on purchase of new car other than acko.
5,Did you take insurance from showroom or from outside ? Which company insurance?
5,should i take insurance or
6,not only battery cooling Motor cooling too
6,Sir how is the AC cooling for Nexon ev max
6,It's normal. The ac cutoff cooling to cabin and use it to cool the motor and battery first when the temperature goes high. It will start cooling the cabin again after few minutes.
7,Its way less than 100 kms may be around 30-50 kms
7,🧐wh/km comes down only after you drive more than 20 km in one go
7,Get the test drive and drive for 10-20 km and see what's your wh/km
8,It a new battery pack.
8,Ask them to give it in writing on email Whether the battery is new or refurbished What is the SoH of the replaced battery pack and old battery pack
8,"And when your battery pack is being replaced, ask them to give it in writing if they are replacing it with a new battery pack or a refurbished one. Ask for SoH for old and replaced battery pack to be mentioned on email"
9,My car is nexon ev max
9,Do you have Nexon ev?
9,This is for Nexon EV?
10,Will this help Tesla ?
10,Without Tesla then and with Tesla now
10,Tesla is more than that
11,I think all bpcl chargers are in statiq
11,Use Statiq App or Chargezone App.
11,there should be one app for all chargers this is what i think...
12,I was about to ask the same question
12,Oh ok..i didn't know this
12,That I know but I am asking different question please
13,Not in Tigor and tiago
13,No issue like this in Tiago
13,I am in Tiago 😀
14,is it only key or key with extra remote?
14,How to lock the car with the key inside the smart key
14,That's just for the key
15,Do u always drive 3 level regen mode
15,On highway use city mode with regen level 1 or 0.
15,Do regen 0 or 1 .. u will get more
16,if replacing only 1 tyre you should ideally go with the same tyre as the other tyres on your car
16,For all tyres or some?
16,"30PM and within 12-14 hours of delivery I took my car back to showroom reporting a bubble in one of my tyres. They tried reporting it to MRF and there was no response. I continued using the tyre for next 1600KM and waiting for an update from MRF, but no response from them. During this period that tyre got a crack and I had to replace with spare tyre. I had to get it rubber patched done on the way since when I shifted spare tyre, I found the same kind of bubble with new tyre sidewalls. I was travelling with my family, and I was not confident on with these tyres hence I had to patch the cracked tyre (NO air was leaking). Later after 2800km of running I find all 5 tyres having similar kind of bubble. Few weeks ago, MRF had inspected my car tyre and asked TATA service centre to send all pictures to them. There is no proper update from them or from the service centre. During my visit at the SC I observed few of the Ev’s for service with MRF tyre’s had a similar issue. Last week MRF engineer asked me to come back to SC to relook at these tyres once again and during that time another customer had reported this issue with his tata Altroz. I spoke to him, and he also mentioned that one of his tyre got cut during his highway drive and other 2 tyres (MRF) are having similar bubbles. He also mentioned that MRF is not replacing mentioning that the Tyres will run for the average KM that a tyre should run. I don’t trust these tyres to be safe and need a replacement. I have also reported this to TATA Area manager but a very sorry and slow response. Nexon Ev with MRF tyres are fitted with defective tyres. Tata should take necessary action to replace them without much of follow-up and easy replacement method. My car is 3 + months old and I have been following it up with them the next day of the delivery. I am hoping for a positive response by replacing all my tyres. Will update you all the outcome. I wish the new Nexon EV buyers get the best OEM tyres not these defective MRF Tyres. It’s painful and frustrating process getting anything done with TATA. I suggest everyone who has MRF tyres with your EV, please check your tyres and report it to your SC. I pray and wish your tyres are good and not with the similar issues I have. How do you check: 1. Fill Air as mentioned, 2. run your fingers around the side wall of the tyres both the sides you will feel some bubble and a shape change."
17,This is on my Zconnect
17,How to get zconnect app
17,U can connect with zconnect app
18,This group is for EV and not ICE vehicle
18,Is it a ICE vehicle??
18,"sell one ICE and keep one ICE,"
19,Any solution for this ? I’m facing similar issue
19,I'm facing the same issue and no one has the solution for this 😐
19,Anyone facing this issue? Any solution?
20,Is it mostly highway driving?
20,"Driving style, roads and traffic and temp around all that matters,"
20,driving on Highway or in city?
21,"Yes, with 3.3 kW speed"
21,and for statiq if you use 7.2 kw or 3.3 kw it is only 12 rs per kw
21,"Will I get both 3.3 kw and ,7.2 kw"
22,"Also about the sound, I'm not sure about what the sound is."
22,I also have some sound
22,With some sound is it 😜
23,Yes…this is the one app
23,You can check on this app
23,which app is this ?
24,your solar inverter will have a app
24,Does it have solar as well?
24,but we can have solar
25,How old is the car
25,How old is your car?
25,how old is your car?
26,Which service center is this?
26,Its in the service centre....
26,I am at the service centre
27,"Hey there मुसाफिर, and welcome to TATA Nexon / Nexon EV All India Elite Club !!!! How are you?"
27,"Hey there Y, and welcome to TATA Nexon / Nexon EV All India Elite Club !!!! How are you?"
27,"Hey there B, and welcome to TATA Nexon / Nexon EV All India Elite Club !!!! How are you?"
28,This is not a Tata.ev charger no?
